date;holiday_name
2016-01-01;Nieuwjaarsdag
2016-03-27;Pasen
2016-03-28;Paasmaandag
2016-05-01;Dag van de Arbeid
2016-05-05;O.L.H. Hemelvaart
2016-05-15;Pinksteren
2016-05-16;Pinkstermaandag
2016-07-21;Nationale feestdag
2016-08-15;O.L.V. Hemelvaart
2016-11-01;Allerheiligen
2016-11-11;Wapenstilstand van 1918
2016-12-25;Kerstmis
2017-01-01;Nieuwjaarsdag
2017-04-16;Pasen
2017-04-17;Paasmaandag
2017-05-01;Dag van de Arbeid
2017-05-25;O.L.H. Hemelvaart
2017-06-04;Pinksteren
2017-06-05;Pinkstermaandag
2017-07-21;Nationale feestdag
2017-08-15;O.L.V. Hemelvaart
2017-11-01;Allerheiligen
2017-11-11;Wapenstilstand van 1918
2017-12-25;Kerstmis
2018-01-01;Nieuwjaarsdag
2018-04-01;Pasen
2018-04-02;Paasmaandag
2018-05-01;Dag van de Arbeid
2018-05-10;O.L.H. Hemelvaart
2018-05-20;Pinksteren
2018-05-21;Pinkstermaandag
2018-07-21;Nationale feestdag
2018-08-15;O.L.V. Hemelvaart
2018-11-01;Allerheiligen
2018-11-11;Wapenstilstand van 1918
2018-12-25;Kerstmis
2019-01-01;Nieuwjaarsdag
2019-04-21;Pasen
2019-04-22;Paasmaandag
2019-05-01;Dag van de Arbeid
2019-05-30;O.L.H. Hemelvaart
2019-06-09;Pinksteren
2019-06-10;Pinkstermaandag
2019-07-21;Nationale feestdag
2019-08-15;O.L.V. Hemelvaart
2019-11-01;Allerheiligen
2019-11-11;Wapenstilstand van 1918
2019-12-25;Kerstmis
2020-01-01;Nieuwjaarsdag
2020-04-12;Pasen
2020-04-13;Paasmaandag
2020-05-01;Dag van de Arbeid
2020-05-21;O.L.H. Hemelvaart
2020-05-31;Pinksteren
2020-06-01;Pinkstermaandag
2020-07-21;Nationale feestdag
2020-08-15;O.L.V. Hemelvaart
2020-11-01;Allerheiligen
2020-11-11;Wapenstilstand van 1918
2020-12-25;Kerstmis
2021-01-01;Nieuwjaarsdag
2021-04-04;Pasen
2021-04-05;Paasmaandag
2021-05-01;Dag van de Arbeid
2021-05-13;O.L.H. Hemelvaart
2021-05-23;Pinksteren
2021-05-24;Pinkstermaandag
2021-07-21;Nationale feestdag
2021-08-15;O.L.V. Hemelvaart
2021-11-01;Allerheiligen
2021-11-11;Wapenstilstand van 1918
2021-12-25;Kerstmis
2022-01-01;Nieuwjaarsdag
2022-04-17;Pasen
2022-04-18;Paasmaandag
2022-05-01;Dag van de Arbeid
2022-05-26;O.L.H. Hemelvaart
2022-06-05;Pinksteren
2022-06-06;Pinkstermaandag
2022-07-21;Nationale feestdag
2022-08-15;O.L.V. Hemelvaart
2022-11-01;Allerheiligen
2022-11-11;Wapenstilstand van 1918
2022-12-25;Kerstmis
2023-01-01;Nieuwjaarsdag
2023-04-09;Pasen
2023-04-10;Paasmaandag
2023-05-01;Dag van de Arbeid
2023-05-18;O.L.H. Hemelvaart
2023-05-28;Pinksteren
2023-05-29;Pinkstermaandag
2023-07-21;Nationale feestdag
2023-08-15;O.L.V. Hemelvaart
2023-11-01;Allerheiligen
2023-11-11;Wapenstilstand van 1918
2023-12-25;Kerstmis
2024-01-01;Nieuwjaarsdag
2024-03-31;Pasen
2024-04-01;Paasmaandag
2024-05-01;Dag van de Arbeid
2024-05-09;O.L.H. Hemelvaart
2024-05-19;Pinksteren
2024-05-20;Pinkstermaandag
2024-07-21;Nationale feestdag
2024-08-15;O.L.V. Hemelvaart
2024-11-01;Allerheiligen
2024-11-11;Wapenstilstand van 1918
2024-12-25;Kerstmis
2025-01-01;Nieuwjaarsdag
2025-04-20;Pasen
2025-04-21;Paasmaandag
2025-05-01;Dag van de Arbeid
2025-05-29;O.L.H. Hemelvaart
2025-06-08;Pinksteren
2025-06-09;Pinkstermaandag
2025-07-21;Nationale feestdag
2025-08-15;O.L.V. Hemelvaart
2025-11-01;Allerheiligen
2025-11-11;Wapenstilstand van 1918
2025-12-25;Kerstmis

