start_date;end_date;holiday_name
2019-12-23;2020-01-05;Kerstvakantie
2020-02-24;2020-03-01;Krokusvakantie
2020-04-06;2020-04-19;Paasvakantie
2020-07-01;2020-08-31;Zomervakantie
2020-11-02;2020-11-15;Herfstvakantie
2020-12-21;2021-01-03;Kerstvakantie
2021-02-15;2021-02-21;Krokusvakantie
2021-04-05;2021-04-18;Paasvakantie
2021-07-01;2021-08-31;Zomervakantie
2021-11-01;2021-11-07;Herfstvakantie
2021-12-24;2022-01-09;Kerstvakantie
2022-02-28;2022-03-06;Krokusvakantie
2022-04-04;2022-04-18;Paasvakantie
2022-07-01;2022-08-31;Zomervakantie
2022-10-31;2022-11-06;Herfstvakantie
2022-12-26;2023-01-08;Kerstvakantie
2023-02-20;2023-02-26;Krokusvakantie
2023-04-03;2023-04-16;Paasvakantie
2023-07-01;2023-08-31;Zomervakantie
2023-10-30;2023-11-05;Herfstvakantie
2023-12-25;2024-01-07;Kerstvakantie
2024-02-12;2024-02-18;Krokusvakantie
2024-04-01;2024-04-14;Paasvakantie
2024-07-01;2024-08-31;Zomervakantie
2024-10-28;2024-11-03;Herfstvakantie
2024-12-23;2025-01-05;Kerstvakantie
2025-03-03;2025-03-09;Krokusvakantie
2025-04-07;2025-04-21;Paasvakantie
2025-07-01;2025-08-31;Zomervakantie
2025-10-27;2025-11-02;Herfstvakantie
2025-12-22;2026-01-04;Kerstvakantie
2026-02-16;2026-02-22;Krokusvakantie
2026-04-06;2026-04-19;Paasvakantie
2026-07-01;2026-08-31;Zomervakantie
2026-11-02;2026-11-08;Herfstvakantie
2026-12-21;2027-01-03;Kerstvakantie
2027-02-08;2027-02-14;Krokusvakantie
2027-03-29;2027-04-11;Paasvakantie
2027-07-01;2027-08-31;Zomervakantie
2027-11-01;2027-11-07;Herfstvakantie
2027-12-27;2028-01-09;Kerstvakantie
2028-02-28;2028-03-05;Krokusvakantie
2028-04-03;2028-04-17;Paasvakantie
2028-07-01;2028-08-31;Zomervakantie
2028-10-30;2028-11-05;Herfstvakantie
2028-12-25;2029-01-07;Kerstvakantie
2029-02-12;2029-02-18;Krokusvakantie
2029-04-02;2029-04-15;Paasvakantie
2029-07-01;2029-08-31;Zomervakantie
